OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
4957,LRA,2,High,370598.296749115,2634.50328183531
4958,LRA,2,High,52264.2458572388,914.469644527027
4959,LRA,2,High,558197.58089447,11413.0276384986
4960,LRA,2,High,2199666.36079407,9623.35166398
4961,LRA,2,High,646368.38337326,3218.00191346724
4962,LRA,2,High,106200,1620.00000000186
4963,LRA,2,High,702000,14999.9999999832
4964,LRA,2,High,48134.2202072144,1791.75292709823
4965,LRA,2,High,48374.0711288452,1286.6764534949
4966,LRA,2,High,33866.4164657593,1156.90691334297
4967,LRA,2,High,623089.355548859,3157.5385317104
4968,LRA,2,High,2639198.40172577,6499.88452112842
4969,LRA,2,High,406338.788619995,3706.21686781981
4970,LRA,2,High,1212960.71948242,6461.58100506063
4971,LRA,2,High,2278316.96722412,6456.09539371044
4972,LRA,2,High,1207850.28267288,5605.64144158401
4973,LRA,2,High,121576.120571136,2312.43411137959
4974,LRA,2,High,1195163.10894775,4703.17623043693
4975,LRA,2,High,9095451.00624084,21647.7652893588
4976,LRA,2,High,475392.103393555,3888.8425864498
4977,LRA,2,High,146701.281341553,1534.36652808501
4978,LRA,2,High,68094.8617401123,1663.5187701373
4979,LRA,2,High,86663.4013748169,1748.09023374653
4980,LRA,2,High,882319.882041931,6329.54639449531
4981,LRA,2,High,1502442.9584465,7490.41567023337
4982,LRA,2,High,2560994.54840088,6401.32697825625
4983,LRA,2,High,2337927.17889404,6120.85008731573
4984,LRA,2,High,26272.8914871216,998.199173312237
4985,LRA,2,High,584501.741844177,4279.8011253196
4986,LRA,2,High,644503.587471008,4637.79185064836
4987,LRA,2,High,761071.167987823,4905.08377831527
4988,LRA,2,High,1525423.72906494,6670.75636555537
4989,LRA,2,High,648522.755706787,3221.25380704603
4990,LRA,2,High,88186.2201309204,1601.39818978381
4991,LRA,2,High,1505349.65353394,10434.7585012735
4992,LRA,2,High,81070.4021987915,1249.53271108553
4993,LRA,2,High,2611074.19219971,6468.13189505741
4994,LRA,2,High,790337.749961853,7801.35789189485
4995,LRA,2,High,81028.4016571045,1207.20054508214
4996,LRA,2,High,2557510.37713623,6405.71956192428
4997,LRA,2,High,23759.3850479126,828.018170257216
4998,LRA,2,High,1591410.2335434,6463.66097071839
4999,LRA,2,High,2499772.43615723,6325.31349729162
5000,LRA,2,High,2561590.97637939,6402.71351381217
5001,LRA,2,High,320501.418930054,3608.03471423814
5002,LRA,2,High,81928.3934631348,1212.32617161988
5003,LRA,2,High,27560.8755950928,764.454730718227
5004,LRA,2,High,83914.3161392212,1277.09263396707
5005,LRA,2,High,516199.513534546,5753.90640010311
5006,LRA,2,High,1674502.60086823,40692.5319827886
5007,LRA,2,High,521257.906364441,5568.89776432064
5008,LRA,2,High,2586970.04943848,6434.08090213206
5009,LRA,2,High,221507.302009583,2369.63281280262
5010,LRA,2,High,29672.9560089111,730.243798670156
5011,LRA,2,High,4519265.41020203,8925.83265123786
5012,LRA,2,High,524052.735321045,3492.8082665721
5013,LRA,2,High,12673.3584899902,609.894604211847
5014,LRA,2,High,1376014.7096405,7970.19893600069
5015,LRA,2,High,613342.202003479,3135.77638314355
5016,LRA,2,High,146686.967842102,2025.02738726485
5017,LRA,2,High,2580310.69641113,6418.59203237097
5018,LRA,2,High,196975.494972229,1797.92814526628
5019,LRA,2,High,316.67170715332,146.0106445259
5020,LRA,2,High,685121.069976807,4138.48977146435
5021,LRA,2,High,1282831.93888092,6060.39177503993
5022,LRA,2,High,423602.958179474,4042.20017010381
5023,LRA,2,High,2786330.01655579,6688.75469349315
5024,LRA,2,High,1727306.20088196,12605.5717652355
5025,LRA,2,High,2701399.55130768,7989.5193354898
5026,LRA,2,High,39276.5948791504,5193.48834935442
5027,LRA,2,High,18048.1452484131,565.991620590049
5028,LRA,2,High,2207708.98857117,9356.81121840325
5029,LRA,2,High,21277.8268661499,704.824132854576
5030,LRA,2,High,87656.857460022,1952.83963766557
5031,LRA,2,High,1441584.82881165,5476.49658415837
5032,LRA,2,High,110832.482086182,2416.70610328904
5033,LRA,2,High,2392963.13821411,11306.9442282143
5034,LRA,2,High,81277.3455047607,1303.30755150229
5035,LRA,2,High,176089.579986572,1692.77006923423
5036,LRA,2,High,2437976.83189392,6436.26246006362
5037,LRA,2,High,64386.6235427856,1412.25440272171
5038,LRA,2,High,123788.481666565,3036.08801932453
5039,LRA,2,High,1358312.1907959,7700.54962990252
5040,LRA,2,High,2608641.30120087,6458.52656755278
5041,LRA,2,High,1069264.92583466,6051.42765212098
5042,LRA,2,High,66118.0349273682,1697.55558287899
5043,LRA,2,High,4320765.65402985,9850.96750618196
5044,LRA,2,High,937812.826843262,6870.37781970044
5045,LRA,2,High,2110152.21683502,7769.0277759673
5046,LRA,2,High,960575.774288177,4822.5015333979
5047,LRA,2,High,770405.345169067,7177.50136113324
5048,LRA,2,High,382904.609939575,4141.97737411333
5049,LRA,2,High,2577256.52999878,6421.69856698885
5050,LRA,2,High,336827.791137695,3513.57721042476
5051,LRA,2,High,3825070.54290009,13948.119832322
5052,LRA,2,High,1608437.77841949,6258.05231895496
5053,LRA,2,High,1199429.78843689,8890.71338397515
5054,LRA,2,High,791158.230781555,11507.1492955475
5055,LRA,2,High,2652139.24252319,6515.82284258281
5056,LRA,2,High,40612.6124954224,1027.46607289061
5057,LRA,2,High,1376781.78930283,8379.36360800114
5058,LRA,2,High,1318578.53045654,4865.58550228122
5059,LRA,2,High,1584224.41454315,7692.49872978004
5060,LRA,2,High,2197792.23853302,7154.62410954747
5061,LRA,2,High,76698.3850021362,2222.75928215287
5062,LRA,2,High,579120.061584473,4032.22496456088
5063,LRA,2,High,1286929.66700745,5927.15723917968
5064,LRA,2,High,22971.7244262695,948.616306442129
5065,LRA,2,High,82310.0648956299,1288.08418246428
5066,LRA,2,High,147460.272384644,2013.54039043362
5067,LRA,2,High,163092.91191864,1630.84437344629
5068,LRA,2,High,161761.401470184,3605.97781938543
5069,LRA,2,High,510066.003303528,6269.75816272516
5070,LRA,2,High,344434.290000916,4013.83060854856
5071,LRA,2,High,50694.8789367676,1053.37104854619
5072,LRA,2,High,3231101.58651733,9851.68244155797
5073,LRA,2,High,868862.090072632,4870.45602178869
5074,LRA,2,High,36260.1888046265,1241.84094957183
5075,LRA,2,High,156407.488563538,2337.52512263091
5076,LRA,2,High,878576.708213806,7190.11918996664
5077,LRA,2,High,54925.5473060608,2975.5999279956
5078,LRA,2,High,1346027.21678162,8181.83846979459
5079,LRA,2,High,1201968.85567474,5410.8671953613
5080,LRA,2,High,2587399.35597229,6434.16685575968
5081,LRA,2,High,1562392.90195465,10232.2281442591
5082,LRA,2,High,542969.264678955,6556.98951543772
5083,LRA,2,High,2593491.96838379,9862.28277404801
5084,LRA,2,High,44383.5141487122,1034.91056528705
5085,LRA,2,High,3719.00360107422,243.934764963674
5086,LRA,2,High,167261.992427826,1673.70103633568
5087,LRA,2,High,276632.503875732,3622.00958932214
5088,LRA,2,High,2585223.81700134,7938.88315306631
5089,LRA,2,High,3907772.53604889,9315.24982711344
5090,LRA,2,High,206826.901409149,2680.56428891481
5091,LRA,2,High,3845181.75304413,8702.07630282365
5092,LRA,2,High,1221736.06428528,8202.44499090302
5093,LRA,2,High,3198763.04627609,14085.8894141141
5094,LRA,2,High,2603595.12127686,6446.83864696606
5095,LRA,2,High,862488.31155014,8483.00873329542
5096,LRA,2,High,115080.82490921,1600.66677118231
5097,LRA,2,High,328096.005710602,2546.24855873977
5098,LRA,2,High,44611.4856872559,853.552870401071
5099,LRA,2,High,160395.191307068,1951.80082235835
5100,LRA,2,High,20121075.9198074,28337.9813807594
5101,LRA,2,High,2594204.60195923,6442.64090170109
5102,LRA,2,High,162047.254371643,1610.20702918068
5103,LRA,2,High,2559743.99878693,6403.15977798981
5104,LRA,2,High,134642.278518677,2323.69573668299
5105,LRA,2,High,678452.968425751,4116.87836798922
5106,LRA,2,High,101033.046382904,1460.92411666587
5107,LRA,2,High,110260.322883606,2810.34963408293
5108,LRA,2,High,6512.74681472778,1107.97995328757
5109,LRA,2,High,1811945.64208221,9458.04126356361
5110,LRA,2,High,83146.8664054871,1279.98663121618
5111,LRA,2,High,2635332.24475479,6494.91155062121
5112,LRA,2,High,70279.5783538818,1160.6458535405
5113,LRA,2,High,74542.1731033325,1230.29950022946
5114,LRA,2,High,140389.832782745,1958.51646879513
5115,LRA,2,High,79636.7165184021,1270.01337265882
5116,LRA,2,High,227149.635261536,2841.28477184634
5117,LRA,2,High,20245.5097465515,571.346813573795
